Title,Property,history,cookies,bookmarks,downloads,cache,addresses auto fill,web form auto fill
,Chrome,🌵,🌵,🌵,🌵,🌵,🌵,🌵
,FF,🌵,🌵,🌵,🌵,🍎,🌵,🌵
,IE,🌵,🌵,🌵,🍎,🍎,🍎,🍎
,Edge,🌵,🌵,🌵,🍎,🍎,🍎,🍎
,Safari,🌵,🌵,🌵,🌵,🍎,🍎,🍎
